DOB,height_in,home_town,player_country,player_id,player_name,resides,total_first,total_forth,total_played,total_points1,total_points2,total_second,total_third
"October 26, 1982 (40 years old)","5'9""",Fortaleza (CE),Brazil  ,8002,Naiana Rodrigues de Araújo,Fortaleza (CE),0,1,3,140.0,0,0,0
"June 25, 1992 (30 years old)","6'0""",Kingaroy,Australia  ,10795,Taliqua Clancy,Adelaide,8,5,95,"19,417.0", ,4,11
"September 7, 2001 (21 years old)","5'11""",Tubbergen,Netherlands  ,18586,Wies Bekhuis,,0,4,11,"1,005.0",3,0,2
"May 20, 1997 (26 years old)","6'8""",Radzy,Poland  ,14418,Mateusz Paszkowski,Warsaw,0,0,12,$700,539.0,0,0
"July 28, 1995 (27 years old)","5'9""",Tauranga ,New Zealand  ,13755,Alice Bain,,0,1,12,600.0,0,0,0
"May 9, 1985 (38 years old)","6'6""",Cape Town,South Africa  ,11155,Leo Williams,Cape Town,0,1,42,"1,863.0", ,1,0
"September 3, 1998 (24 years old)","6'0""",,Australia  ,17512,Caitlin Bettenay,,0,1,7,865.0,1,0,0
"May 6, 1994 (29 years old)","6'3""",Prague,Czech Republic  ,14037,Martin Pihera,Prague,0,0,12,505.0,4,0,0
"November 2, 1993 (29 years old)","6'2""","Scarborough, ON",Canada  ,11725,Grant O'Gorman,"Vancouver, BC",1,0,81,"$98,562.50","9,390.0",2,1
"March 17, 1985 (38 years old)","6'7""","Ridgefield, CT",United States  ,7831,Theo Brunner,"Torrance, CA",1,4,77,"12,710.0", ,1,2
"May 17, 1984 (39 years old)","6'2""",Ceske Budjovice,Czech Republic  ,6246,Jindrich Weiss,Brno,1,0,36,840.0, ,1,0
"June 13, 1998 (25 years old)","5'11""",Basel,Switzerland  ,14785,Yves Haussener,SWITZERLAND,3,2,53,"6,309.0", ,4,3
"July 30, 1996 (26 years old)","5'9""",Pieksamdki,Finland  ,13428,Anniina Parkkinen,Helsinki,0,1,43,"5,948.0", ,1,2
"November 29, 1988 (34 years old)","6'5""",Madona,Latvia  ,12433,Edgars Tocs,Daugavpils,1,1,64,"9,211.0", ,1,2
"November 11, 1995 (27 years old)","5'9""",,Italy  ,18727,Giada Godenzoni,,0,2,5,380.0,1,0,0
"January 29, 1987 (36 years old)",,A Coruña,Venezuela  ,18545,Hernan Tovar,,1,0,4,490.0,0,0,0
"April 28, 1991 (32 years old)","6'5""",Gelengzik,Russia  ,10745,Viacheslav Krasilnikov,Gelengzik,7,7,77,"16,416.0", ,7,5
"May 24, 1998 (25 years old)","5'9""",Bucharest,Romania  ,16452,Adriana-Maria Matei,Satu-Mare,1,0,14,684.0,0,0,0
"January 3, 1996 (27 years old)","6'5""",Geelong,Australia  ,15492,Stefanie Weiler,Bruce,0,0,18,920.0,1,0,1
"May 22, 1995 (28 years old)","6'5""","Dakar, Senegal",Qatar  ,15097,Cherif Younousse Samba,Doha,5,0,74,"15,170.0", ,6,5
"May 9, 1993 (30 years old)","6'7""",Jiangsu,China  ,13343,Jiaxin Wu,Beijing,4,0,59,"5,406.0", ,0,2
"August 7, 2001 (21 years old)","6'1""",Shan Dong,China  ,17565,Jie Dong,Beijing,2,0,25,"3,085.0", ,1,1
"December 7, 1995 (27 years old)","6'4""",Aktau,Kazakhstan  ,16429,Artem Petrossyants,Aktau,0,1,9,375.0,1,0,0
"September 22, 1996 (26 years old)","6'3""",Praha,Czech Republic  ,15671,Vaclav Bercik,CZECH REPUBLIC,1,0,39,"3,640.0", ,0,0
"April 2, 1997 (26 years old)","6'0""",Krasnodar,Russia  ,13715,Nadezda Makroguzova,Krasnodar,2,2,64,"9,086.0", ,4,1
"March 20, 1999 (24 years old)","6'7""",Bressanone,Italy  ,16802,Jakob Windisch,ITALY,4,1,34,"3,065.0", ,1,1
"November 9, 1997 (25 years old)","5'9""",Obninsk,Russia  ,15000,Svetlana Kholomina,Obninsk,2,1,39,"7,035.0", ,3,1
"August 20, 1992 (30 years old)","5'11""",Fortaleza (CE),Brazil  ,11651,Carolina Horta Máximo,Fortaleza (CE),1,1,39,"4,975.0", ,3,0
"February 12, 1977 (46 years old)","5'9""",Rio de Janeiro,Brazil  ,5147,"Vanilda ""Val"" dos Santos Leão",Rio de Janeiro,3,0,61,"5,240.0", ,4,2
"May 14, 1992 (31 years old)","6'3""",Jastrzebie Zdroj,Poland  ,10444,Bartosz Losiak,Jastrzebie Zdroj,10,6,118,"21,549.0", ,8,7
"January 10, 1997 (26 years old)","5'8""",Hyogo,Japan  ,16621,Reika Murakami,Tokyo,2,2,47,"4,570.0", ,2,2
"February 17, 1997 (26 years old)","5'10""",Thessaloniki,Greece  ,15394,Dimitra Manavi,Thessaloniki,1,1,47,"2,526.0", ,1,2
"September 26, 1995 (27 years old)","6'1""",Linz,Austria  ,13876,Philipp Waller,Feldbach,2,1,53,"9,239.0", ,1,0
"May 12, 1992 (31 years old)","6'3""",Vilnius,Lithuania  ,10776,Artur Vasiljev,Vilnius,0,0,14,750.0,0,0,0
"July 5, 1996 (26 years old)","6'0""",Nowe Miasto nad Pilica,Poland  ,18804,Michal Korycki,Przysucha,0,0,7,490.0,0,0,0
"May 3, 1992 (31 years old)","6'7""",Sosnowiec,Poland  ,10443,Piotr Kantor,Sosnowiec,6,4,114,"19,215.0", ,7,6
"October 27, 1996 (26 years old)","5'9""",João Pessoa,Brazil  ,14458,Andressa Cavalcanti Ramalho,João Pessoa,2,0,28,"5,404.0", ,1,4
"May 10, 1990 (33 years old)","6'3""",Saint Petersburg,Russia  ,10968,Daniil Kuvichka,Saint Petersburg,1,1,15,"1,100.0",0,0,0
"May 19, 1984 (39 years old)","6'6""",Istanbul,Türkiye  ,11422,Selçuk Sekerci,Istanbul,0,0,42,"1,956.0", ,2,1
"January 4, 2000 (23 years old)","5'8""",Basel,Switzerland  ,17886,Anna Lutz,Basel,0,0,11,"1,090.0",0,0,0
"July 12, 1993 (29 years old)","6'0""",Oslo,Norway  ,12445,Oda Johanne Ulveseth,Oslo,0,1,31,"2,637.0", ,0,0
"January 18, 1998 (25 years old)",,Tokyo,Japan  ,20602,Ren Matsumoto,,0,0,7,910.0,0,1,0
"March 13, 1997 (26 years old)","5'9""",Burlington,Canada  ,16617,Amanda Harnett,"Santa Rosa, CA",0,0,36,"$6,647.95","2,615.0",0,1
"November 5, 2000 (22 years old)","6'3""",Padua,Italy  ,18440,Tobia Marchetto,Padua,0,0,3,180.0,0,0,0
"August 1, 1997 (25 years old)","5'9""","Richmond, BC",Canada  ,14208,Nicole McNamara,"Toronto, ON",0,3,35,"5,290.0", ,1,2
"December 21, 1988 (34 years old)","6'3""",Tonkabon,Iran  ,16039,Abbas Pourasgari,Ramsar,0,1,8,550.0,0,0,2
"May 22, 2000 (23 years old)","5'10""",Feldkirchen,Austria  ,16881,Ronja Klinger,Deutschlandsberg,1,3,37,"3,695.0", ,1,1
"December 25, 1995 (27 years old)","5'11""",Poltar,Slovakia  ,17413,Andrea Strbova,Frydek-Mistek,0,0,26,"4,370.0",0,0,1
"October 16, 1998 (24 years old)","6'2""",Klaipeda,Lithuania  ,16270,Audrius Knasas,Kaunas,0,0,7,"1,120.0",1,0,0
"November 23, 1988 (34 years old)","6'1""","Colfax, NC",United States  ,16898,Sarah Schermerhorn,"Colfax, NC",0,0,20,"3,130.0", ,2,0
"May 6, 1990 (33 years old)","6'11""",Valthermond,Netherlands  ,9429,Christiaan Varenhorst,The Hague,3,4,110,"17,400.0", ,4,5
"January 11, 1988 (35 years old)","5'9""",Santiago de Chile,Chile  ,12659,Maria Francisca Rivas Zapata,,0,0,3,0,€ 550,0,1
"August 18, 1995 (27 years old)","6'1""",Bangkok,Thailand  ,18105,Kitti Duangjinda,Chonburi,0,1,13,665.0,3,0,0
"February 12, 1998 (25 years old)","5'11""",Prague,Czech Republic  ,16594,Daniela Resova,Prague,0,0,24,"1,519.0", ,0,1
"December 20, 1986 (36 years old)","6'4""",Roma,Italy  ,14966,Fabrizio Manni,Campagnano Romano,0,0,2,50.0,0,0,0
"June 28, 1985 (37 years old)","5'10""",Kromeriz,Czech Republic  ,8191,Sarka Nakladalova,Kromeriz,0,1,27,"1,286.0", ,2,1
"April 23, 1993 (30 years old)","5'9""",Fortaleza,Brazil  ,11610,Rebecca Cavalcanti Barbosa Silva,Fortaleza,3,2,42,"10,370.0", ,5,7
"July 31, 1984 (38 years old)","6'4""",Ljubljana,Slovenia  ,11749,Danijel Pokeršnik,Ravne na KoroÅ¡kem,0,2,31,"1,780.0", ,0,1
"January 3, 1997 (26 years old)","5'9""",Vladivostok,Russia  ,14577,Daria Rudykh,Vladivostok,1,1,51,"4,023.0", ,0,2
"November 12, 1987 (35 years old)","6'0""",Melbourne,Australia  ,11185,Damien Schumann,Adelaide,2,2,54,"4,741.0", ,1,0
"June 18, 1988 (35 years old)","6'0""",Adelaide,Australia  ,7920,Becchara Palmer,Sydney,2,3,82,"6,447.0", ,2,0
"August 20, 1995 (27 years old)","6'2""",Bangkok,Thailand  ,13843,Intuch Techakijvorakul,Bangkok,2,0,28,"2,456.0",0,1,1
"June 14, 1993 (30 years old)","5'9""",Villach,Austria  ,13125,Anja Dörfler,Graz,0,0,14,752.0,0,1,0
"August 9, 1988 (34 years old)","6'2""",Khaboura,Oman  ,9621,Ahmed Khadoum Alhousni,Al-Khabourah,0,0,13,600.0,1,1,0
"March 14, 1995 (28 years old)","6'9""","Rancho Palos Verdes, CA",United States  ,18352,Andy Benesh,"Palos Verdes Peninsula, CA",1,1,13,"$23,150.00","3,100.0",1,1
"December 18, 1998 (24 years old)","5'11""",Breda,Netherlands  ,17054,Mexime van Driel,Breda,3,0,31,"3,301.0", ,2,0
"September 12, 1994 (28 years old)","6'3""",Wien,Austria  ,17355,Mathias Seiser,Wien,0,0,6,750.0,1,0,0
"January 21, 1986 (37 years old)","6'3""",Rybnik,Poland  ,6959,Mariusz Prudel,Rybnik,2,6,124,"18,108.0", ,4,6
"February 13, 1990 (33 years old)","6'0""",Tottori,Japan  ,16034,Kensuke Shoji,"Shibuya-ku, Tokyo",1,0,24,"1,381.0",2,1,0
"June 16, 1992 (31 years old)","5'11""",Pescara,Italy  ,10808,Silvia Costantini,Pescara,0,1,11,800.0,0,0,0
"March 3, 1993 (30 years old)","6'3""",Jona,Switzerland  ,14338,Nico Beeler,Jona,1,2,45,"5,265.0", ,0,0
"July 20, 1994 (28 years old)","6'0""",Kanagawa,Japan  ,18189,Yurika Sakaguchi,Yamato,2,4,37,"5,220.0", ,1,4
"November 22, 1988 (34 years old)","5'10""",Heppenheim,Germany  ,9100,Karla Borger,Stuttgart,4,6,130,"21,870.0", ,2,6
"January 16, 1993 (30 years old)","6'2""",Bangkok,Thailand  ,18166,Dunwinit Kaewsai,Bangkok,0,2,16,"1,190.0",0,1,0
"July 25, 1985 (37 years old)","5'11""",Klagenfurt,Austria  ,6836,Alexander Huber,Feldkirchen,3,3,128,"10,231.0", ,3,3
"June 12, 1997 (26 years old)","5'11""",Paranavaí,Brazil  ,16584,Adrielson Dos Santos Silva,Maringá,1,0,12,"1,370.0",1,1,0
"May 20, 1996 (27 years old)","6'3""",Obninsk,Russia  ,14264,Artem Yarzutkin,Moscow,2,3,57,"6,152.0", ,4,3
"August 20, 1981 (41 years old)","5'7""",Hiratsuka,Japan  ,7402,"Takemi ""Take"" Nishibori",kariya,1,1,156,"8,993.0", ,3,1
"October 16, 1997 (25 years old)","6'0""",Tel Aviv,Israel  ,17258,Anita Dave,Ramal-Gan,1,3,48,"3,030.0", ,0,0
"February 25, 1984 (39 years old)","5'9""",Resende,Brazil  ,8003,Maria Elisa Mendes Ticon Antonelli,Rio de Janerio,14,16,162,"34,463.0", ,19,16
"November 3, 1989 (33 years old)","6'6""",Leiden,Netherlands  ,9129,Alexander Brouwer,Den Haag,7,7,131,"24,698.0", ,11,7
"January 15, 1989 (34 years old)","6'3""",Gonbad-e Kavus,Iran  ,15951,Bahman Salemiinjehboroun,Gonbad-e Kavus,1,0,24,"1,712.0",0,3,2
"May 3, 1989 (34 years old)","6'3""",Staszow,Poland  ,7843,Jakub Szalankiewicz,Staszow,6,3,152,"14,857.0", ,2,1
"June 9, 1989 (34 years old)","6'11""",Tokmak. Kyrgyzstan,Russia  ,11053,Konstantin Semenov,Odinzovo,4,4,102,"15,895.0", ,4,5
"February 6, 2002 (21 years old)","6'4""",Dachau,Germany  ,18436,Simon Pfretzschner,Karlsfeld,1,0,6,550.0,0,0,0
"May 12, 1979 (44 years old)","6'4""",Fortaleza,Brazil  ,7508,Hevaldo André Sabino Moreira,Fortaleza,1,0,32,"1,698.0", ,0,1
"July 16, 2002 (20 years old)",,,Czech Republic  ,18540,Michaela Brinková,,0,0,2,100.0,0,0,0
"April 9, 1990 (33 years old)","5'5""",Orebro,Sweden  ,18707,Sara Cavretti,Orebro,0,0,2,125.0,0,1,0
"November 19, 1992 (30 years old)","5'6""",Stockholm,Sweden  ,13942,Sanna Thurin,Stockholm,0,0,9,500.0,0,0,1
"October 3, 2001 (21 years old)","5'9""",Gorichem,Netherlands  ,16919,Raïsa Schoon,Werkendam,5,0,38,"7,322.0", ,3,3
"February 9, 1983 (40 years old)","6'1""",St. Petersburg,Russia  ,6711,Alexandra Shiryaeva Moiseeva,Leningrad,2,1,91,"7,251.0", ,2,1
"April 17, 1990 (33 years old)","6'4""",Bregenz,Austria  ,16555,Simon Baldauf,Klagenfurt,0,1,9,380.0,1,0,0
"January 6, 1975 (48 years old)","6'7""","Salvador, Brazil",Brazil  ,525,Ricardo Alex Costa Santos                                      ,"Joao Pessoa, FL",56,18,238,"43,081.0", ,31,23
"May 24, 1990 (33 years old)","6'4""",Berlin,Germany  ,10953,Lars Flüggen,Hamburg,3,2,74,"10,850.0", ,5,0
"October 16, 1992 (30 years old)","6'2""",Ljubljana,Slovenia  ,17653,Tjasa Kotnik,Ljubljana,1,1,34,"3,870.0", ,4,1
"April 26, 1996 (27 years old)","5'9""",Taipei,Chinese Taipei  ,18176,Chin-Ju Wang,Pingtung,0,0,9,590.0,1,1,1
"August 13, 1990 (32 years old)","6'8""",Joao Pessoa,Brazil  ,10960,"Joalisson ""Jô"" Laurindo Gomes",Joao Pessoa,0,1,9,540.0,0,0,0
"September 13, 1983 (39 years old)","5'10""",Jyväskylä,Finland  ,4888,Erika Nystrom,CYPRUS,1,1,166,"9,771.0", ,2,1
"October 25, 1991 (31 years old)","6'5""",Gijon,Spain  ,10401,César Menéndez Ortego,Lorca,0,0,30,"2,110.0", ,0,2
"July 4, 1994 (28 years old)","6'6""",,Australia  ,14389,Thomas Hodges,,1,0,16,"3,388.0",0,1,1
"March 2, 1980 (43 years old)","6'3""",Esmoriz,Portugal  ,2557,Roberto Mauro Silva Reis,S.M.Feira,0,0,7,463.0,0,0,0
"February 3, 2002 (21 years old)","6'2""",Odense,Denmark  ,17201,Clara Windeleff,Odense,1,0,13,"1,040.0", ,0,0
"November 2, 1990 (32 years old)","6'2""",Vantaa,Finland  ,13629,Jyrki Nurminen,Vantaa,2,1,29,"3,230.0", ,0,3
"March 23, 1996 (27 years old)","6'4""",Graz,Austria  ,14710,Moritz Bernd Pristauz-Telsnigg,Wien,0,2,69,"9,556.0", ,2,2
"September 23, 1992 (30 years old)","6'4""",Cesena ,Italy  ,15116,Marco Caminati,Cesena ,2,2,38,"5,005.0", ,1,0
"February 6, 1985 (38 years old)","5'11""",Doetinchem,Netherlands  ,5292,Sanne Keizer,Haarlem,4,8,159,"19,519.0", ,2,6
"December 13, 1994 (28 years old)","6'8""",Hengelo,Netherlands  ,18616,Stefan Boermans,The Hague,3,3,29,"6,170.0", ,2,1
"December 31, 1998 (24 years old)","6'0""",Wien,Austria  ,15734,Moritz Fabian Kindl,Wien,1,3,35,"2,410.0", ,0,0
"January 17, 1998 (25 years old)","6'4""",Munich,Germany  ,16263,Simon Kulzer,Baldham,1,2,28,"2,072.0", ,0,1
"August 29, 1990 (32 years old)","6'4""","Baltimore, MD",United States  ,16000,Travis Mewhirter,"Hermosa Beach, CA",0,0,16,887.0, ,0,1
"May 13, 1996 (27 years old)","5'10""","Hermosa Beach, CA",United States  ,14958,Zana Muno,"Manhattan Beach, CA",1,0,12,"1,135.0", ,0,1
"July 28, 1998 (24 years old)","6'0""",Christchurch,New Zealand  ,20511,Alice Zeimann,,1,0,9,"1,600.0",0,0,0
"November 11, 2001 (21 years old)",,,Netherlands  ,18966,Nadine Everaert,,0,2,5,265.0,1,0,0
"January 1, 1990 (33 years old)","6'0""",Bangkok,Thailand  ,11021,Prathip Sukto,SISAKET,0,1,2,85.0,0,0,0
"May 22, 2002 (21 years old)","6'1""",Berlin,Germany  ,19450,Lui Wüst,,0,0,4,190.0,0,0,0
"August 28, 1995 (27 years old)","6'4""",Kortrijk,Belgium  ,19699,Gilles Vandecaveye,Gent,0,0,8,775.0,1,2,0
"April 28, 1998 (25 years old)","6'2""",Rostov-on-Don,Russia  ,15112,Elizaveta Zayonchkovskaya,Rostov-on-Don,0,0,16,746.0,0,0,1
"October 14, 1985 (37 years old)","6'8""",Gorkiy,Russia  ,15526,Nikita Liamin,Nizgny Novgorod,2,1,57,"9,485.0", ,2,2
"August 30, 1991 (31 years old)",,,Japan  ,18178,Miyu Sakamoto,,0,1,2,300.0,0,0,1
"August 1, 1997 (25 years old)","5'9""","Richmond, BC",Canada  ,14209,Megan McNamara,"Delta, BC",0,3,35,"5,290.0", ,1,2
"October 3, 1998 (24 years old)","6'4""",Emmen,Netherlands  ,16917,Katja Stam,Den Haug,3,2,39,"$120,099.85","7,500.0",4,3
"August 21, 1986 (36 years old)","6'4""",Moscow,Russia  ,6883,Serguei Prokopiev,Moscow,0,2,80,"4,316.0", ,0,2
"April 25, 1992 (31 years old)","6'5""",St. Petersburg,Russia  ,10788,Andrey Bolgov,St. Petersburg,0,2,13,469.0, ,2,0
"November 3, 1985 (37 years old)","6'7""","Lakewood, CA",United States  ,17443,Paul Lotman,"San Diego, CA",0,1,4,"1,280.0", ,0,1
"September 22, 1992 (30 years old)","5'10""",Bremen,Germany  ,11760,Kim Behrens Van de Velde,Munster,0,1,52,"6,653.0", ,4,0
"June 20, 1982 (41 years old)","6'1""","Newport Beach, CA",United States  ,7389,April Ross,"Costa Mesa, CA",27,9,152,"36,060.0", ,19,15
"December 10, 1982 (40 years old)","6'6""",Itaboraí (RJ),Brazil  ,8000,Thiago Dealtry Barbosa,"Copacabana, Rio de Janeiro",0,1,77,"5,950.0", ,2,0
"August 1, 1998 (24 years old)","5'11""",Sao Cristovao,Brazil  ,13802,"Eduarda ""Duda"" Santos Lisboa",Sergipe,20,5,81,"21,621.0", ,9,13
"December 1, 1999 (23 years old)","5'10""",Belem,Brazil  ,18266,Rafael Andrew Lima de Carvalho,Joao Pessoa,2,0,2,200.0,0,0,0
"March 26, 1991 (32 years old)","6'0""",Weilheim,Germany  ,10805,Victoria Bieneck,Berlin,3,4,95,"11,591.0", ,0,2
"May 16, 1996 (27 years old)","6'1""","Temecula, CA",United States  ,14837,Jessica Gaffney,"Los Angeles, CA",0,0,9,"1,130.0", ,0,1
"November 18, 1995 (27 years old)","5'11""",Mödling,Austria  ,13352,Teresa Strauss,Vienna,0,1,35,"2,151.0", ,0,2
"January 21, 1995 (28 years old)","6'3""",Feldbach,Austria  ,13346,Florian Ertl,Graz,0,0,3,95.0,0,0,0
"June 19, 1989 (34 years old)","6'4""",Montpellier,France  ,15029,Youssef Krou,Montpellier,3,2,73,"10,899.0", ,3,5
"June 11, 2000 (23 years old)","5'10""",Breda,Netherlands  ,16918,Emi van Driel,Breda,3,0,35,"3,252.0", ,2,2
"February 16, 1991 (32 years old)","6'5""","London, Canada",Poland  ,16787,Martin Chiniewicz,Warsaw,0,0,3,130.0,0,0,0
"December 23, 1992 (30 years old)","6'4""",Odense,Denmark  ,13264,Morten Overgaard,Odense,1,0,5,322.0,1,0,0
"September 30, 1986 (36 years old)","6'6""",Jastrzebie Zdrój,Poland  ,18187,Adrian Sdebel,Wroclaw,0,1,9,430.0,1,0,0
"January 19, 2000 (23 years old)","6'4""",Brno,Czech Republic  ,17151,Jiri Sedlak,CZECH REPUBLIC,0,1,21,"1,730.0", ,0,0
"November 19, 1992 (30 years old)","5'7""",Stockholm,Sweden  ,13941,Tina Thurin,Stockholm,0,0,8,460.0,0,0,1
"June 21, 2002 (21 years old)","6'1""",Maschrauchen,Switzerland  ,18879,Annik Stähli,Bern,0,0,1,50.0,0,0,0
"October 21, 1998 (24 years old)","6'4""",Narva,Estonia  ,15767,Dimitriy Korotkov,"Tallinn
",0,0,4,170.0,0,0,0
"May 22, 1992 (31 years old)","6'3""",Porto,Portugal  ,11764,Sebastiao Alves,Matosinhos,0,0,3,110.0,0,0,0
"April 16, 1983 (40 years old)","6'4""",Cape Town,South Africa  ,7289,Grant Goldschmidt,Cape Town,0,0,25,"1,026.0",0,1,0
"May 8, 1990 (33 years old)","6'6""","Richmond Hill, ON",Canada  ,9346,Sam Schachter,"Scarborough, ON",2,2,96,"$208,062.50","13,576.0",3,0
"May 3, 1992 (31 years old)","6'2""","San Diego, CA",United States  ,15139,Kelley Larsen Kolinske,"Jamul, CA",3,3,53,"10,654.0", ,1,2
"March 20, 1996 (27 years old)","5'11""",Waikerie,Australia  ,15386,Brittany Kendall,Adelaide,1,0,39,"3,122.0", ,0,1
"July 1, 1991 (31 years old)","5'8""","Groveland, FL",United States  ,11148,Aurora Newgard Davis,"Groveland, FL",1,1,11,810.0, ,0,0
"July 31, 1987 (35 years old)","6'3""",Kuldiga,Latvia  ,6874,Janis Smedins,Kuldiga,14,8,166,"27,641.0", ,7,10
"October 15, 1994 (28 years old)","5'10""",Kremenchug,Ukraine  ,11813,Inna Makhno,Kyiv,2,1,51,"3,461.0", ,3,0
"September 22, 1993 (29 years old)","5'9""",Oberwart,Austria  ,11649,Katharina Elisabeth Schützenhöfer,Wien,2,0,95,"11,728.0", ,3,2
"February 20, 1998 (25 years old)","6'7""",Jurmala,Latvia  ,16268,Mihails Samoilovs,Jurmala,0,1,29,"$4,994.39","2,372.0",0,3
"May 5, 2003 (20 years old)","6'0""",Sneek,Netherlands  ,19525,Brecht Piersma,Den Haag,0,0,4,610.0,0,0,0
"August 31, 1989 (33 years old)","6'6""",Pambula,Australia  ,8410,Christopher McHugh,Adelaide,2,2,124,"12,730.0", ,2,2
"November 9, 1983 (39 years old)","6'2""","Escuinapa, Sinaloa",Mexico  ,7145,Rodolfo Lombardo Ontiveros,"Mazatlan, Sinaloa",0,0,79,20,"$165,325.00",2,4
"August 6, 1991 (31 years old)","6'2""",Zaporishya,Ukraine  ,9444,Sergiy Popov,Zaporishya,3,2,60,"6,106.0", ,3,1
"October 17, 1992 (30 years old)","6'5""",Pancevo,Serbia  ,18536,Milos Milic,Pancevo,0,0,4,180.0,0,0,0
"February 14, 2001 (22 years old)",,,Ukraine  ,18110,Anna Shumeiko,,0,1,1,70.0,0,0,0
"September 12, 1996 (26 years old)","6'3""",João Pessoa,Brazil  ,14454,George Souto Maior Wanderley,João Pessoa,7,1,60,"12,496.0", ,3,4
"June 18, 1987 (36 years old)","6'6""",Pordenone,Italy  ,11262,Alex Ranghieri,Rome,3,7,96,"14,911.0", ,2,3
"November 1, 1998 (24 years old)","6'4""",Modena,Italy  ,17983,Samuele Cottafava,Modena,4,0,34,"6,685.0", ,1,3
"April 12, 2003 (20 years old)",,Tunuyán,Argentina  ,20977,Maia Najul Rosas,,0,0,1,20.0,0,0,0
"March 8, 1998 (25 years old)","5'11""",Prague,Czech Republic  ,15427,Tereza Pluharova,Prague,0,1,6,300.0,0,0,0
"October 25, 2000 (22 years old)","6'3""",Moscow,Russia  ,17710,Pavel Shustrov,Moscow,0,0,5,230.0,0,0,2
"March 17, 1990 (33 years old)","6'3""",Copenhagen,Denmark  ,15008,Jacob Cordua Stormly,Copenhagen,0,0,1,90.0,0,1,0
"October 28, 1992 (30 years old)","6'3""",Kyiv,Ukraine  ,13532,Diana Mulenko Lunina,Kyiv,2,2,42,"3,948.0", ,4,2
"July 27, 1994 (28 years old)","5'11""",Xinjiang,China  ,17591,Shuhui Wen,urumqi,6,0,9,"1,680.0",0,1,1
"November 10, 1994 (28 years old)","6'8""",Aarhus,Denmark  ,15012,Kristoffer Abell,Odense,0,1,37,"$13,057.57","3,207.0",1,1
"September 18, 1993 (29 years old)","6'4""",Minsk,Belarus  ,17357,Pavel Piatrushka,BELARUS,0,0,9,"$7,300","1,030.0",0,1
"November 18, 2002 (20 years old)",,,Czech Republic  ,19395,Tomas Semerad,Czech Republic,0,1,15,"2,270.0",1,0,0
"February 7, 1996 (27 years old)","6'3""",Moscow,Russia  ,15487,Taras Myskiv,RUSSIA,2,3,32,"4,989.0", ,3,0
"August 17, 2000 (22 years old)","6'7""",Zurich,Switzerland  ,18580,Immanuel Zürcher,Zullilon,0,0,11,920.0,0,0,0
"August 15, 1978 (44 years old)","6'3""","Santa Clara, CA",United States  ,1923,Kerri Walsh Jennings,"Manhattan Beach, CA",56,7,152,"35,896.0", ,20,13
"March 17, 1985 (38 years old)","6'0""",Athens,Greece  ,4956,Vasiliki Arvaniti,Athens,3,7,184,"20,273.0", ,3,0
"May 15, 1999 (24 years old)","6'8""",Muldestausee,Germany  ,16262,Robin Sowa,Berlin,0,2,31,"3,505.0", ,0,2
"April 9, 1995 (28 years old)","6'6""",Uitgeest,Netherlands  ,15820,Jannes van der Ham,Den Haag,0,0,6,212.0,0,0,0
"August 26, 1983 (39 years old)","6'6""",Almaty,Kazakhstan  ,8144,Alexey Sidorenko,Almaty,1,1,105,"6,513.0", ,1,0
"February 21, 1993 (30 years old)","5'10""",Kiel,Germany  ,11615,Anna Behlen,Hamburg,1,0,14,"1,169.0", ,0,1
"August 15, 1995 (27 years old)","6'6""",Tytuvenai,Lithuania  ,14472,Lukas Kazdailis,Vilnius,0,2,32,"2,943.0", ,0,0
"April 10, 1997 (26 years old)","6'4""","Sioux Falls, SD",United States  ,20804,Taryn Kloth,"Sioux Falls, SD",4,1,14,"4,860.0",0,0,0
"June 17, 1974 (49 years old)","5'9""",Santa Isabel (PA),Brazil  ,5885,Izabel Cristina Amaral Santos Bezerra,Santa Isabel (PA),0,1,8,172.0,0,1,0
"March 10, 1991 (32 years old)","6'4""",Joao Pessoa,Brazil  ,9345,Vitor Araújo Gonçalves Felipe,Rio de janeiro,3,6,102,"17,623.0", ,6,2
"February 13, 2002 (21 years old)",,Zaporizhia,Ukraine  ,20701,Veronika Zhukova,,0,1,1,70.0, ,0,0
"August 9, 1987 (35 years old)","6'1""","Torrance, CA",United States  ,8458,Emily Day Capers,"Torrance, CA",3,2,99,"$226,711.24","12,864.0",3,1
"February 23, 2002 (21 years old)","6'2""",Lipesk,Russia  ,16679,Mariia Bocharova,Obninsk,3,0,27,"2,960.0", ,1,0
"June 24, 1996 (26 years old)","6'4""",Vienna,Austria  ,15466,Felix Friedl,Vienna,0,3,46,"2,870.0", ,0,0
"September 2, 1997 (25 years old)","6'0""",Guasave,Mexico  ,15325,Josue Gaston Gaxiola Leyva,MEXICO,0,0,13,2,"$18,900",2,0
"October 22, 1989 (33 years old)","5'9""",Bangkok,Thailand  ,8021,Manerat Tanarattha Udomchavee,Bangkok,1,1,85,"6,233.0", ,2,1
"March 2, 1992 (31 years old)","6'5""",Chernigiv,Ukraine  ,15967,Oleksii Denin,Chernigiv,0,1,15,605.0,0,0,1
"January 15, 1995 (28 years old)","6'8""",Rosario,Argentina  ,15252,Nicolás Capogrosso,Rosario,0,0,51,"$44,175.00","6,198.0",1,1
"August 11, 1987 (35 years old)","5'11""",Bryansk,Russia  ,8994,Ekaterina Khomyakova Birlova,"Kaluwskaya oblast, Obninsk city",2,2,106,"12,090.0", ,1,3
